det_features,image,title,price(PKR),det_title,brand
"Brand Warranty,Screen: 5 Inch Full HD Display,Processor: Quad-core 1.4 GHz Cortex-A53,OS: Android 6.0 (Marshmallow),Storage: 1.5GB RAM With 8GB ROM,SIM: Dual SIM",https://static.daraz.pk/q0VBrTpRhaihE5Sd6ma1HzqlF7k=/fit-in/220x220/filters:fill(white)/product/98/07666/1.jpg?5256,"Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP - Black",14299,"Samsung Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP - Black",Samsung 
"Brand Warranty,Screen: 5.8 inches (~83.6% screen-to-body ratio), 1440 x 2960 pixels QHD+ (~570 ppi pixel density),Memory: 64GB, 4GB RAM,Processor: Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),OS	Android OS, v7.0,Camera: 12 MP, f/1.7, 26mm, phase detection autofocus, OIS, LED flash",https://static.daraz.pk/aVykUVsmIB-3s3yKXqC25JfDE8M=/fit-in/220x220/filters:fill(white)/product/70/36666/1.jpg?1202,"S8 - 5.8"" - 4GB RAM - 64GB ROM - 12MP - Maple Gold",78099,"Samsung S8 - 5.8"" - 4GB RAM - 64GB ROM - 12MP - Maple Gold",Samsung 
"Brand Warranty,Memory: 16 GB, 2 GB RAM,Processor: Octa-core 1.6 GHz Cortex-A53,OS: Android OS, v6.0.1 (Marshmallow),Screen: 4.7 inches (~67.9% screen-to-body ratio),Camera: 13 MP, f/1.9, autofocus, LED flash, ",https://static.daraz.pk/Y2VkNh9VbIVKvXuXZRY6VCkEnCs=/fit-in/220x220/filters:fill(white)/product/44/99666/1.jpg?5153,"Galaxy A3 - 4.7"" - 2GB RAM - 16GB - 13MP - Gold - With Neon Flip Cover",30899,"Samsung Galaxy A3 - 4.7"" - 2GB RAM - 16GB - 13MP - Gold - With Neon Flip Cover",Samsung 
"Brand Warranty,Screen: 5.8 inches (~83.6% screen-to-body ratio), 1440 x 2960 pixels QHD+ (~570 ppi pixel density),Memory: 64GB, 4GB RAM,Processor: Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),OS	Android OS, v7.0",https://static.daraz.pk/WI5DKO46V0YxeNgi09OQ73TCTYI=/fit-in/220x220/filters:fill(white)/product/51/36666/1.jpg?1687,"S8 - 5.8"" - 4GB RAM - 64GB ROM - 12MP - Midnight Black",78099,"Samsung S8 - 5.8"" - 4GB RAM - 64GB ROM - 12MP - Midnight Black",Samsung 
"Brand Warranty,Screen Size & Type: 5.1” Super AMOLED capacitive touchscreen, 16M colors,Storage + Memory Card Support: 16 GB Storage, Micro SD up to 128 GB,Camera (Front + Back): 16 MP, 5312 x 2988 pixels, phase detection autofocus, LED flash Camera, Back - 2 MP,Processor + RAM: Quad-core 1.9 GHz Cortex-A15 & quad-core 1.3 GHz Cortex-A7, 2 GB RAM,Operating System: Android OS, v4.4.2 (KitKat)",https://static.daraz.pk/jhW6VLWXmxJEfUm3yhX5-lzvNCw=/fit-in/220x220/filters:fill(white)/product/82/31735/1.jpg?2410,Galaxy S5 - 16GB - Black - G900H,45000,Samsung Galaxy S5 - 16GB - Black - G900H,Samsung 
"Brand Warranty,Screen Size & Type: 5.7 inches, Super AMOLED capacitive touchscreen, 16M colors,Storage + Memory Card Support: 32 GB, No Card slot,Processor + RAM: Quad-core 1.5 GHz Cortex-A53 & Quad-core 2.1 GHz Cortex-A57, 4 GB RAM,Camera (Back + Front): 16 MP, 5312 x 2988 pixels, optical image stabilization, autofocus, LED flash, Front - 5 MP,Operating System: Android OS, v5.1.1 (Lollipop)",https://static.daraz.pk/RBy6VOnF4ewfNuDUsvJ2WyCfALU=/fit-in/220x220/filters:fill(white)/product/82/59456/1.jpg?4514,Galaxy Note 5 - SM-N920 - 32GB ROM - Gold Platinum,45000,Samsung Galaxy Note 5 - SM-N920 - 32GB ROM - Gold Platinum,Samsung 
"Screen Size & Type:  2.4” TFT, 256K colors,Storage + Memory Card Support: 256 MB Storage, microSD, up to 16 GB,Camera (Front + Back): 
5 Megapixels Camera, Autofocus, LED Flash,Processor + RAM:  460 MHz CPU,Battery: Li-Ion 1000 mAh battery",https://static.daraz.pk/fSq_gkli2rf5r1dUp4OII1fkP10=/fit-in/220x220/filters:fill(white)/product/70/13245/1.jpg?0129,"S5611 - 2.4"" - 256 MB HDD - 5 MP Camera - White (Brand Warranty)",8307,"Samsung S5611 - 2.4"" - 256 MB HDD - 5 MP Camera - White (Brand Warranty)",Samsung 
"Screen: 5.0 inches (~66.0% screen-to-body ratio),Memory: 8 GB, Card slot - microSD, up to 64 GB,Camera: 8 MP, 3264 x 2448 pixels, autofocus, LED flash,Processor: Quad-core 1.2 GHz Cortex-A53, 1 GB RAM,OS - Android OS, v4.4.4 (KitKat),SIM - Optional Dual SIM (Micro-SIM, dual stand-by)",https://static.daraz.pk/nqvvkOCkwdZE7gsQKNvyrMuHoW8=/fit-in/220x220/filters:fill(white)/product/90/13245/1.jpg?0136,"SM-G530H - Grand Prime - 5.0"" - 8 GB - 1 GB RAM - 1.2 GHz Quad-core - 8 MP Camera - Gold (Brand Warranty)",16500,"Samsung SM-G530H - Grand Prime - 5.0"" - 8 GB - 1 GB RAM - 1.2 GHz Quad-core - 8 MP Camera - Gold (Brand Warranty)",Samsung 
"Brand Warranty,Compatible with Galaxy S6, S6 Edge, S6 Edge+ & Note 5,Lighter weight so you can play and watch more comfortably,Improved fit for most eyeglasses,Improved padding for extra comfort and durability,Upgraded touch pad that’s even easier to use",https://static.daraz.pk/pK4ECZf1msrC1qA0uGYHV03gcow=/fit-in/220x220/filters:fill(white)/product/52/59456/1.jpg?5288,Virtual Reality Gear - Black & White,4999,Samsung Virtual Reality Gear - Black & White,Samsung 
"Screen Size & Type: 4.3 inches Super AMOLED capacitive touchscreen, 16M colors,Storage + Memory Card Support: 8
GB, microSD, up to 64 GB,Camera (Front + Back): 16 MP, 4608 х 3456 pixels, autofocus, 10x optical zoom (24-240mm), optical image stabilization, Xenon flash, Front - 1.9 MP,Color: Black,Processor + RAM: Dual-core 1.5
GHz Cortex-A9, 1.5 GB RAM",https://static.daraz.pk/O3ZLZEB5zn2a7AEln1rfA9cQGws=/fit-in/220x220/filters:fill(white)/product/95/21935/1.jpg?5259,Galaxy S4 Zoom - SM-C1010 - 8GB - Black,49999,Samsung Galaxy S4 Zoom - SM-C1010 - 8GB - Black,Samsung 
"Brand Warranty,6.2 inches (~84.0% screen-to-body ratio),1440 x 2960 pixels QHD+ (~529 ppi pixel density),Qualcomm MSM8998 Snapdragon 835,12 MP, f/1.7, 26mm, phase detection autofocus, OIS, LED flash",https://static.daraz.pk/drfsF0vYTMBonfOax4Gqqtf5s0U=/fit-in/220x220/filters:fill(white)/product/09/31566/1.jpg?4547,"S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Orchid Grey",96999,"Samsung S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Orchid Grey",Samsung 
,https://static.daraz.pk/qkoYv9Wgtx7wA2qdjGR60_vUBd4=/fit-in/220x220/filters:fill(white)/product/50/99066/1.jpg?5168,"S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Midnight Black",86899,"Samsung S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Midnight Black",Samsung 
