title,brand,det_features,price_PKR,det_title,image
"Galaxy J1 J120F - 4.5"" - 8GB - 1GB RAM - 5MP Camera - Gold",Samsung ,"Brand Warranty,Screen Size & Type: 4.5"" TFT capacitive touchscreen, 16M colors,Storage + Memory Support: 8GB HDD, microSD up to 128GB,Camera (Back + Front): 5MP (Back) + 2MP (Front),Processor + RAM:Quad-core 1.3 GHz Cortex-A7 , 1GB RAM,Operating System: Android OS, v5.1.1 (Lollipop)",13250,"Samsung Galaxy J1 J120F - 4.5"" - 8GB - 1GB RAM - 5MP Camera - Gold",https://static.daraz.pk/abqL_JJKwk79pbBsKPDkH6wMEuw=/fit-in/220x220/filters:fill(white)/product/37/37516/1.jpg?0266
"Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP Camera - Gold",Samsung ,"Brand Warranty,Processor: Quad-core 1.4 GHz Cortex-A53,Storage: 1.5GB RAM With 8GB ROM,Screen: 5 Inch Full HD Display,SIM: Dual SIM,Camera: 8MP with LED Flash, 5MP front camera",14490,"Samsung Galaxy Grand Prime Plus - 5.0"" - 8GB - 1.5GB RAM - 8MP Camera - Gold",https://static.daraz.pk/xr9jomroTj-nWT37mVH5wLrGk3I=/fit-in/220x220/filters:fill(white)/product/86/06846/1.jpg?4664
"Galaxy Tab A (2016) - 7"" - SM-T285 - Black",Samsung ,,21000,"Samsung Galaxy Tab A (2016) - 7"" - SM-T285 - Black",https://static.daraz.pk/dTHCntKyVlKztn0WDMnWRV2g3mg=/fit-in/220x220/filters:fill(white)/product/57/44956/1.jpg?8139
Galaxy Note 5 - SM-N920 - 32GB ROM - Gold Platinum,Samsung ,"Brand Warranty,Screen Size & Type: 5.7 inches, Super AMOLED capacitive touchscreen, 16M colors,Storage + Memory Card Support: 32 GB, No Card slot,Processor + RAM: Quad-core 1.5 GHz Cortex-A53 & Quad-core 2.1 GHz Cortex-A57, 4 GB RAM,Camera (Back + Front): 16 MP, 5312 x 2988 pixels, optical image stabilization, autofocus, LED flash, Front - 5 MP,Operating System: Android OS, v5.1.1 (Lollipop)",45199,Samsung Galaxy Note 5 - SM-N920 - 32GB ROM - Gold Platinum,https://static.daraz.pk/RBy6VOnF4ewfNuDUsvJ2WyCfALU=/fit-in/220x220/filters:fill(white)/product/82/59456/1.jpg?4514
Galaxy S5 - 16GB - Black - G900H,Samsung ,"Brand Warranty,Screen Size & Type: 5.1” Super AMOLED capacitive touchscreen, 16M colors,Storage + Memory Card Support: 16 GB Storage, Micro SD up to 128 GB,Camera (Front + Back): 16 MP, 5312 x 2988 pixels, phase detection autofocus, LED flash Camera, Back - 2 MP,Processor + RAM: Quad-core 1.9 GHz Cortex-A15 & quad-core 1.3 GHz Cortex-A7, 2 GB RAM,Operating System: Android OS, v4.4.2 (KitKat)",45000,Samsung Galaxy S5 - 16GB - Black - G900H,https://static.daraz.pk/jhW6VLWXmxJEfUm3yhX5-lzvNCw=/fit-in/220x220/filters:fill(white)/product/82/31735/1.jpg?2410
"T285 - 7"" - 8GB ROM -1.5GB RAM - White",Samsung ,"Brand Warranty,Screen size: 7"",Qualcomm MSM8916 Snapdragon 410,Quad-core 1.3 GHz Cortex-A53,RAM+ROM: 8 GB ROM, 1.5 GB RAM,IPS LCD capacitive touchscreen, 16M colors",17799,"Samsung T285 - 7"" - 8GB ROM -1.5GB RAM - White",https://static.daraz.pk/VKoBJ3H6xlnc3xkOsDvIFPK_1oY=/fit-in/220x220/filters:fill(white)/product/71/50666/1.jpg?6138
"Galaxy T560 Tab E - 9.6"" - 1.5GB - 8GB - Black - WiFi  ",Samsung ,"Only Wifi Tablet (No Sim Supported),Ram : 1.5GB,ROM : 8GB,Battery : 5000 MAh,Screen : 9.6 inches - 800 x 1280 pixels (~157 ppi pixel density)",17899,"Samsung Galaxy T560 Tab E - 9.6"" - 1.5GB - 8GB - Black - WiFi  ",https://static.daraz.pk/sKof0-rBRmgcBXD3bWSzI2czLcA=/fit-in/220x220/filters:fill(white)/product/47/31866/1.jpg?0297
Virtual Reality Gear - Black & White,Samsung ,"Brand Warranty,Compatible with Galaxy S6, S6 Edge, S6 Edge+ & Note 5,Lighter weight so you can play and watch more comfortably,Improved fit for most eyeglasses,Improved padding for extra comfort and durability,Upgraded touch pad that’s even easier to use",4999,Samsung Virtual Reality Gear - Black & White,https://static.daraz.pk/pK4ECZf1msrC1qA0uGYHV03gcow=/fit-in/220x220/filters:fill(white)/product/52/59456/1.jpg?5288
"SM-G530H - Grand Prime - 5.0"" - 8 GB - 1 GB RAM - 1.2 GHz Quad-core - 8 MP Camera - Gold (Brand Warranty)",Samsung ,"Screen: 5.0 inches (~66.0% screen-to-body ratio),Memory: 8 GB, Card slot - microSD, up to 64 GB,Camera: 8 MP, 3264 x 2448 pixels, autofocus, LED flash,Processor: Quad-core 1.2 GHz Cortex-A53, 1 GB RAM,OS - Android OS, v4.4.4 (KitKat),SIM - Optional Dual SIM (Micro-SIM, dual stand-by)",16500,"Samsung SM-G530H - Grand Prime - 5.0"" - 8 GB - 1 GB RAM - 1.2 GHz Quad-core - 8 MP Camera - Gold (Brand Warranty)",https://static.daraz.pk/nqvvkOCkwdZE7gsQKNvyrMuHoW8=/fit-in/220x220/filters:fill(white)/product/90/13245/1.jpg?0136
Galaxy S4 Zoom - SM-C1010 - 8GB - Black,Samsung ,"Screen Size & Type: 4.3 inches Super AMOLED capacitive touchscreen, 16M colors,Storage + Memory Card Support: 8
GB, microSD, up to 64 GB,Camera (Front + Back): 16 MP, 4608 х 3456 pixels, autofocus, 10x optical zoom (24-240mm), optical image stabilization, Xenon flash, Front - 1.9 MP,Color: Black,Processor + RAM: Dual-core 1.5
GHz Cortex-A9, 1.5 GB RAM",49999,Samsung Galaxy S4 Zoom - SM-C1010 - 8GB - Black,https://static.daraz.pk/O3ZLZEB5zn2a7AEln1rfA9cQGws=/fit-in/220x220/filters:fill(white)/product/95/21935/1.jpg?5259
