image,price(PKR),brand,title
https://static.daraz.pk/N4swLPkWX7N9elfvDwogDms270Y=/fit-in/220x220/filters:fill(white)/product/43/59456/1.jpg?5151,20999,Samsung ,"Galaxy J5 - J510F - 5.2"" - 16GB ROM - 2GB RAM - 1.2 GHz Qualcomm - Black"
https://static.daraz.pk/q9yedGMpU9NUaKyqfyldmFo-F3M=/fit-in/220x220/filters:fill(white)/product/99/08046/1.jpg?6917,27990,Samsung ,"J7 Prime - 5.5"" - 16GB ROM - 3GB RAM - 13MP - Black - 4G LTE"
https://static.daraz.pk/KPv_Szy0tGaEKolNd8xAd_5rz5g=/fit-in/220x220/filters:fill(white)/product/80/18046/1.jpg?5224,24310,Samsung ,"J5 Prime - 5.0"" - 16GB ROM - 2GB RAM - 13MP - Gold - 4G LTE"
https://static.daraz.pk/oIPbJbpg1TfjTN85WFI_dnzbJpo=/fit-in/220x220/filters:fill(white)/product/91/06366/1.jpg?4101,77299,Samsung ,"S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Midnight Black"
https://static.daraz.pk/si2IPnl1SLpB3uQJAkNflCI4foA=/fit-in/220x220/filters:fill(white)/product/85/46566/1.jpg?5233,77299,Samsung ,"S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Orchid Grey"
https://static.daraz.pk/gzRq9BwEw6mX92AEgKaw95uHMPA=/fit-in/220x220/filters:fill(white)/product/00/69366/1.jpg?5075,93000,Samsung ,"S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Orchid Grey"
https://static.daraz.pk/otAnUHwnWSqKrjtIQJ0UGnIcbvE=/fit-in/220x220/filters:fill(white)/product/40/99066/1.jpg?5147,77299,Samsung ,"S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Maple Gold"
https://static.daraz.pk/ICxB0xMfnjghvShwayisdghblvw=/fit-in/220x220/filters:fill(white)/product/85/98266/1.jpg?5236,86899,Samsung ,"S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Maple Gold"
https://static.daraz.pk/qkoYv9Wgtx7wA2qdjGR60_vUBd4=/fit-in/220x220/filters:fill(white)/product/50/99066/1.jpg?5168,86899,Samsung ,"S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Midnight Black"
https://static.daraz.pk/VHF2YQFSOxPrPJUP-L8H_BTaIig=/fit-in/220x220/filters:fill(white)/product/73/06446/1.jpg?5207,23399,Samsung ,"Galaxy J5 Prime - 1.4 GHz - 5.0"" - 2 GB - 16 GB - 13 MP - Gold"
https://static.daraz.pk/O3ZLZEB5zn2a7AEln1rfA9cQGws=/fit-in/220x220/filters:fill(white)/product/95/21935/1.jpg?5259,49999,Samsung ,Galaxy S4 Zoom - SM-C1010 - 8GB - Black
https://static.daraz.pk/pK4ECZf1msrC1qA0uGYHV03gcow=/fit-in/220x220/filters:fill(white)/product/52/59456/1.jpg?5288,4999,Samsung ,Virtual Reality Gear - Black & White
