price,image,brand,title
Rs: 20999,https://static.daraz.pk/N4swLPkWX7N9elfvDwogDms270Y=/fit-in/220x220/filters:fill(white)/product/43/59456/1.jpg?5151,Samsung ,"Galaxy J5 - J510F - 5.2"" - 16GB ROM - 2GB RAM - 1.2 GHz Qualcomm - Black"
Rs: 27990,https://static.daraz.pk/q9yedGMpU9NUaKyqfyldmFo-F3M=/fit-in/220x220/filters:fill(white)/product/99/08046/1.jpg?6917,Samsung ,"J7 Prime - 5.5"" - 16GB ROM - 3GB RAM - 13MP - Black - 4G LTE"
Rs: 24310,https://static.daraz.pk/KPv_Szy0tGaEKolNd8xAd_5rz5g=/fit-in/220x220/filters:fill(white)/product/80/18046/1.jpg?5224,Samsung ,"J5 Prime - 5.0"" - 16GB ROM - 2GB RAM - 13MP - Gold - 4G LTE"
Rs: 77299,https://static.daraz.pk/oIPbJbpg1TfjTN85WFI_dnzbJpo=/fit-in/220x220/filters:fill(white)/product/91/06366/1.jpg?4101,Samsung ,"S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Midnight Black"
Rs: 77299,https://static.daraz.pk/si2IPnl1SLpB3uQJAkNflCI4foA=/fit-in/220x220/filters:fill(white)/product/85/46566/1.jpg?5233,Samsung ,"S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Orchid Grey"
Rs: 93000,https://static.daraz.pk/gzRq9BwEw6mX92AEgKaw95uHMPA=/fit-in/220x220/filters:fill(white)/product/00/69366/1.jpg?5075,Samsung ,"S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Orchid Grey"
Rs: 86899,https://static.daraz.pk/qkoYv9Wgtx7wA2qdjGR60_vUBd4=/fit-in/220x220/filters:fill(white)/product/50/99066/1.jpg?5168,Samsung ,"S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Midnight Black"
Rs: 77299,https://static.daraz.pk/-YC1S7poE3fWm7ls71tKYhUx90o=/fit-in/220x220/filters:fill(white)/product/65/98266/1.jpg?5290,Samsung ,"S8 - 5.8"" - QHD+ Display - 4GB RAM - 64GB ROM - Maple Gold"
Rs: 23399,https://static.daraz.pk/VHF2YQFSOxPrPJUP-L8H_BTaIig=/fit-in/220x220/filters:fill(white)/product/73/06446/1.jpg?5207,Samsung ,"Galaxy J5 Prime - 1.4 GHz - 5.0"" - 2 GB - 16 GB - 13 MP - Gold"
Rs: 86899,https://static.daraz.pk/ICxB0xMfnjghvShwayisdghblvw=/fit-in/220x220/filters:fill(white)/product/85/98266/1.jpg?5236,Samsung ,"S8+ - 6.2"" - QHD+ Display - 4GB RAM - 64GB ROM - Maple Gold"
Rs: 49999,https://static.daraz.pk/O3ZLZEB5zn2a7AEln1rfA9cQGws=/fit-in/220x220/filters:fill(white)/product/95/21935/1.jpg?5259,Samsung ,Galaxy S4 Zoom - SM-C1010 - 8GB - Black
Rs: 4999,https://static.daraz.pk/pK4ECZf1msrC1qA0uGYHV03gcow=/fit-in/220x220/filters:fill(white)/product/52/59456/1.jpg?5288,Samsung ,Virtual Reality Gear - Black & White
Rs: 16500,https://static.daraz.pk/nqvvkOCkwdZE7gsQKNvyrMuHoW8=/fit-in/220x220/filters:fill(white)/product/90/13245/1.jpg?0136,Samsung ,"SM-G530H - Grand Prime - 5.0"" - 8 GB - 1 GB RAM - 1.2 GHz Quad-core - 8 MP Camera - Gold (Brand Warranty)"
Rs: 8307,https://static.daraz.pk/fSq_gkli2rf5r1dUp4OII1fkP10=/fit-in/220x220/filters:fill(white)/product/70/13245/1.jpg?0129,Samsung ,"S5611 - 2.4"" - 256 MB HDD - 5 MP Camera - White (Brand Warranty)"
Rs: 45000,https://static.daraz.pk/jhW6VLWXmxJEfUm3yhX5-lzvNCw=/fit-in/220x220/filters:fill(white)/product/82/31735/1.jpg?2410,Samsung ,Galaxy S5 - 16GB - Black - G900H
