[u'https://www.daraz.pk/masspk/?q=samsung', u'MASSPK']
[u'https://www.daraz.pk/sehgal-motors/?q=samsung', u'Sehgal Motors']
[u'https://www.daraz.pk/megamall/?q=samsung', u'MegaMall']
[u'https://www.daraz.pk/sennheiser/?q=samsung', u'Sennheiser']
[u'https://www.daraz.pk/faster/?q=samsung', u'Faster']
[u'https://www.daraz.pk/lenovo/?q=samsung', u'Lenovo']
[u'https://www.daraz.pk/dany/?q=samsung', u'DANY']
[u'https://www.daraz.pk/lg/?q=samsung', u'LG']
[u'https://www.daraz.pk/vip-traders/?q=samsung', u'VIP Traders']
[u'https://www.daraz.pk/rubian/?q=samsung', u'Rubian']
[u'https://www.daraz.pk/proda/?q=samsung', u'Proda']
[u'https://www.daraz.pk/deals/?q=samsung', u'Deals']
[u'https://www.daraz.pk/digital/?q=samsung', u'digital']
[u'https://www.daraz.pk/lobo/?q=samsung', u'Lobo']
[u'https://www.daraz.pk/coolvision/?q=samsung', u'Coolvision']
[u'https://www.daraz.pk/logitech/?q=samsung', u'Logitech']
[u'https://www.daraz.pk/motorola/?q=samsung', u'Motorola']
[u'https://www.daraz.pk/audionic/?q=samsung', u'Audionic']
[u'https://www.daraz.pk/united/?q=samsung', u'United']
[u'https://www.daraz.pk/vr-2-0/?q=samsung', u'VR 2.0']
[u'https://www.daraz.pk/qmobile/?q=samsung', u'QMobile']
[u'https://www.daraz.pk/techmanistan-kids/?q=samsung', u'Techmanistan']
[u'https://www.daraz.pk/moshi/?q=samsung', u'Moshi']
[u'https://www.daraz.pk/joyroom/?q=samsung', u'JoyRoom']
[u'https://www.daraz.pk/silicon/?q=samsung', u'Silicon']
[u'https://www.daraz.pk/mobopro/?q=samsung', u'MoboPro']
[u'https://www.daraz.pk/deal-souk/?q=samsung', u'Deal Souk']
[u'https://www.daraz.pk/chinaonline/?q=samsung', u'ChinaOnline']
[u'https://www.daraz.pk/jabra/?q=samsung', u'Jabra']
[u'https://www.daraz.pk/karachi-mobile/?q=samsung', u'Karachi Mobile']
[u'https://www.daraz.pk/mob-n-more/?q=samsung', u'MOB N MORE']
[u'https://www.daraz.pk/caseme/?q=samsung', u'CaseMe']
[u'https://www.daraz.pk/better-deals/?q=samsung', u'Better Deals']
